z Employment Rate,z Individual Income Normalized,z Fraction Married,z Incarceration Rate,z Number of Children Normalized
1.452573548,4.663320444,3.496427106,6.154815479,2.978033816
1.362837715,4.391809308,3.356959785,5.579369539,2.798635486
1.164762278,3.976357341,3.002524036,4.562748378,2.763094307
1.120988701,3.876137789,2.770777585,4.31338847,2.737707751
1.087064179,3.833414713,2.521204483,4.054437797,2.617544719
1.075026445,3.418162387,2.349229741,3.776305593,2.583695977
1.070649087,3.232895965,2.340840729,3.258404247,2.556616984
1.069554748,3.061604381,2.293652538,3.210450419,2.539692613
1.06517739,2.931239107,2.267436876,3.133724293,2.52446068
1.053139656,2.903489072,2.133212687,3.066588934,2.404297647
1.030158528,2.901692307,2.13216406,2.980272043,2.394143025
1.0071774,2.805864847,2.109094278,2.932318214,2.390758151
0.992950988,2.695663268,2.09651076,2.913136683,2.319675794
0.986384951,2.661724376,2.073440977,2.87477362,2.316290919
0.980913254,2.640762119,2.065051966,2.836410558,2.309521171
0.946988732,2.624790876,2.053517074,2.817229026,2.294289237
0.946988732,2.60762179,2.041982183,2.72132137,2.257055622
0.939328356,2.5155875,2.031495918,2.692549073,2.240131251
0.939328356,2.509797924,2.001085751,2.673367541,2.238438814
0.936045337,2.447110794,1.979064595,2.625413713,2.180895953
0.933856659,2.431339192,1.972772836,2.596641416,2.140277464
0.932762319,2.418961478,1.955994812,2.577459885,2.136892589
0.932762319,2.382626899,1.95075168,2.548687588,2.135200152
0.929479301,2.380630494,1.926633271,2.539096822,2.114890907
0.915252888,2.371247389,1.919292885,2.481552228,2.114890907
0.913064209,2.303768886,1.915098379,2.318509212,2.111506033
0.913064209,2.303369605,1.901466235,2.29932768,2.0962741
0.901026476,2.29438578,1.871056067,2.260964618,2.089504351
0.898837797,2.275220288,1.860569803,2.251373852,2.065810232
0.895554779,2.236090742,1.856375297,2.241783086,2.040423676
0.890083081,2.234493618,1.852180791,2.222601555,2.033653928
0.885705724,2.226108715,1.852180791,2.193829258,2.016729557
0.885705724,2.164020507,1.849034911,2.174647727,2.009959809
0.883517045,2.162423382,1.843791779,2.155466195,1.984573253
0.878045348,2.145653577,1.830159635,2.136284664,1.981188378
0.869290632,2.086959258,1.818624744,2.136284664,1.971033756
0.869290632,2.077576152,1.816527491,2.069149304,1.971033756
0.866007614,2.077176871,1.778776938,2.040377007,1.959186696
0.866007614,2.06939089,1.76304754,2.040377007,1.955801822
0.860535917,2.057612098,1.755707155,2.021195476,1.952416948
0.85506422,2.049826117,1.755707155,1.963650882,1.940569889
0.846309504,2.047630071,1.753609902,1.954060116,1.938877452
0.841932146,2.010097649,1.743123637,1.925287819,1.921953081
0.83427177,2.00670376,1.739977758,1.906106288,1.91687577
0.830988752,1.995923171,1.735783252,1.896515522,1.910106021
0.830988752,1.988935752,1.72739424,1.877333991,1.901643836
0.829894413,1.985741503,1.722151108,1.877333991,1.871179969
0.826611394,1.976757679,1.710616217,1.867743225,1.859332909
0.823328376,1.972165946,1.708518964,1.85815246,1.854255598
0.818951018,1.970169541,1.706421711,1.829380163,1.845793412
0.817856679,1.936829571,1.699081325,1.829380163,1.827176605
0.815668,1.910477019,1.699081325,1.819789397,1.813637108
0.815668,1.904088522,1.698032699,1.810198631,1.803482486
0.814573661,1.902890679,1.682303302,1.781426334,1.779788366
0.786120836,1.897899665,1.657136266,1.771835569,1.769633744
0.782837817,1.887717998,1.641406869,1.762244803,1.759479122
0.782837817,1.885721592,1.629871978,1.762244803,1.744247188
0.780649138,1.845394203,1.62043434,1.762244803,1.739169877
0.776271781,1.827626195,1.61728846,1.762244803,1.739169877
0.774083102,1.808859984,1.615191207,1.762244803,1.732400128
0.772988762,1.806464297,1.613093954,1.762244803,1.72563038
0.771894423,1.784903119,1.607850822,1.752654037,1.715475758
0.771894423,1.780511027,1.593170051,1.752654037,1.715475758
0.764234047,1.7631423,1.584781039,1.733472506,1.710398446
0.762045368,1.73020161,1.582683786,1.72388174,1.701936261
0.762045368,1.713032524,1.580586533,1.72388174,1.69685895
0.759856689,1.7114354,1.568003016,1.72388174,1.693474076
0.753290653,1.710636837,1.558565377,1.704700209,1.669779957
0.752196313,1.690473143,1.556468124,1.695109443,1.666395082
0.750007634,1.689874221,1.554370871,1.695109443,1.666395082
0.745630277,1.665518075,1.534446968,1.666337146,1.661317771
0.745630277,1.638965883,1.530252463,1.666337146,1.654548023
0.743441598,1.616007221,1.515571692,1.666337146,1.651163149
0.73906424,1.609019802,1.504036801,1.666337146,1.642700963
0.736875561,1.601233821,1.502988174,1.656746381,1.629161467
0.735781222,1.579473002,1.501939548,1.656746381,1.608852222
0.735781222,1.570089896,1.494599162,1.647155615,1.602082474
0.735781222,1.548728358,1.491453283,1.637564849,1.583465666
0.732498203,1.548728358,1.473626633,1.599201787,1.576695917
0.732498203,1.54194058,1.472578006,1.580020255,1.566541295
0.731403864,1.53834705,1.470480753,1.580020255,1.556386672
0.725932167,1.518782277,1.469432127,1.57042949,1.544539613
0.723743488,1.515388388,1.458945862,1.57042949,1.544539613
0.723743488,1.507203126,1.455799983,1.560838724,1.536077428
0.71936613,1.506404564,1.448459597,1.551247958,1.532692553
0.71936613,1.500215707,1.446362344,1.541657193,1.531000116
0.718271791,1.472266031,1.426438441,1.541657193,1.520845494
0.718271791,1.454298382,1.422243935,1.541657193,1.519153057
0.713894433,1.454098742,1.419098056,1.532066427,1.51746062
0.713894433,1.448708447,1.411757671,1.532066427,1.510690871
0.713894433,1.443118512,1.409660418,1.532066427,1.503921123
0.710611415,1.430541158,1.401271406,1.522475661,1.502228686
0.709517075,1.428345112,1.391833768,1.522475661,1.492074064
0.707328397,1.407981777,1.390785141,1.522475661,1.488689189
0.705139718,1.406584293,1.385542009,1.512884896,1.488689189
0.704045378,1.400994358,1.384493382,1.50329413,1.475149693
0.701856699,1.388017723,1.384493382,1.50329413,1.473457256
0.697479342,1.38721916,1.377152997,1.50329413,1.466687507
0.695290663,1.385222755,1.375055744,1.493703364,1.46499507
0.695290663,1.373643604,1.372958491,1.493703364,1.449763137
0.695290663,1.373643604,1.367715359,1.484112599,1.439608514
0.690913305,1.371247917,1.359326347,1.484112599,1.429453892
